Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng,# Times In,Total Time In Area
Gaslog Geneva,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,12087964,Live,Bermuda,34930,"LNG VLGC, 100'-200'cbm",94400,Double Hull,ZCEU2,112764,2102,291.08,279.00,-,45.80,11.50,14.70,Unknown Engine Designer,Hamilton,-,GasLog Limited,Greece,GasLog Limited,Greece,Gas-Thirteen Limited,Bermuda,Methane Services Limited,United Kingdom,-,-,9707508,310755000,26.20,2016,-,-,-,-,-,-,-,12V50DF,"Britannia Steam Ship Insurance Association Ltd., The",American Bureau,-,-,2019-05-25T00:00:00,-,-,-,2026-09-29T00:00:00,2026-09-29T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,NLRTM > USLCH,Lake Charles,A,03 Jun 2026 12:03:12 GMT,13 Jun 2026 05:01:00 GMT,GasLog Limited,Greece,"38° 37' 35"" N","43° 57' 20"" W",1,"1 day, 9 hours"
Maran Gas Pericles,Liquefied Natural Gas Carrier,Samho,HD Hyundai Samho Company Limited,12117355,Live,Greece,37136,"LNG VLGC, 100'-200'cbm",92776,Double Hull,SVCI8,113502,S734,290.00,275.00,-,45.60,12.50,13.50,Wartsila Corporation,Piraeus,-,Angelicoussis Shipping Group Limited,Greece,Maran Gas Maritime Incorporated,Greece,Anguilla Navigation Corporation,Liberia,-,-,-,-,9709489,241424000,26.00,2016,-,Alfa Laval Aalborg A/S,Unknown,Unknown,-,-,-,8L50DF,Assuranceforeningen Gard,Lloyds Register,-,-,2024-05-15T00:00:00,-,2021-07-06T00:00:00,-,2026-08-21T00:00:00,2026-08-21T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDER,-,A,03 Jun 2026 12:06:39 GMT,02 Jun 2026 05:00:00 GMT,Maran Gas Maritime Incorporated,Greece,"4° 29' 49"" N","66° 12' 52"" E",3,"4 days, 21 hours"
Seri Cenderawasih,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,12204001,Live,Malaysia,16658,"LNG VLGC, 100'-200'cbm",84303,Double Hull,9MWF2,133948,2730,290.20,277.00,-,48.90,23.35,0.00,Mitsubishi Heavy Industries Limited,Port Klang,-,MISC Berhad,Malaysia,MISC Berhad,Malaysia,Seri Cenderawasih (L) Private Limited,Malaysia,Petronas Trading Corporation Sendirian Berhad (PETCO),Malaysia,-,-,9714288,533180210,23.35,2017,-,Alfa Laval Aalborg A/S,Unknown,Unknown,Mitsubishi Heavy Industries Limited,21195,28422,MR36-II,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,LR (provisional), (provisional), (provisional),2024-05-09T00:00:00,-,2022-02-10T00:00:00,-,2027-01-19T00:00:00,2027-01-19T00:00:00,MISC Shipmanagement (L) Private Limited,Malaysia,MISC Shipmanagement (L) Private Limited,Malaysia,MY BTU,"Bintulu, Sarawak",A,03 Jun 2026 12:02:21 GMT,09 Jun 2026 00:00:00 GMT,MISC Berhad,Malaysia,"24° 39' 12"" N","122° 43' 27"" E",3,"3 days, 15 hours"
Maran Gas Vergina,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12239393,Live,Greece,36562,"LNG VLGC, 100'-200'cbm",96000,Double Hull,SVCM9,113037,2414,294.90,282.90,-,46.40,11.50,15.00,MAN Diesel AS,Piraeus,-,Angelicoussis Shipping Group Limited,Greece,Maran Gas Maritime Incorporated,Greece,Santa Lucia Enterprises Incorporated,Liberia,Woodside Energy Group Limited,Australia,-,-,9732369,241467000,26.50,2016,-,-,-,-,Doosan Engine Company Limited,18200,24407,5G70ME-C9-GI,Assuranceforeningen Gard,American Bureau,-,-,2019-07-19T00:00:00,-,-,-,2026-12-06T00:00:00,2026-12-06T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,PABLB,Balboa,A,03 Jun 2026 12:09:40 GMT,03 Jun 2026 12:00:00 GMT,Maran Gas Maritime Incorporated,Greece,"8° 45' 26"" N","79° 25' 14"" W",3,"4 days, 3 hours"
Gaslog Genoa,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,12252333,Live,Bermuda,34930,"LNG VLGC, 100'-200'cbm",94400,Double Hull,ZCEW4,115024,2130,293.16,285.00,-,45.80,11.50,14.70,Winterthur Gas & Diesel Limited (WinGD),Hamilton,-,GasLog Partners LP,Monaco,GasLog Partners LP,Monaco,Gas-Twenty Two Limited,Bermuda,Shell International Trading & Shipping Company Limited (STASCO),United Kingdom,-,-,9744013,310774000,26.20,2018,-,-,-,-,Doosan Engine Company Limited,11900,15958,5X72DF,"Britannia Steam Ship Insurance Association Ltd., The",American Bureau,-,-,2020-04-23T00:00:00,-,-,-,2028-03-28T00:00:00,2028-03-28T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,KR BOR >  AUWNB,Withnell Bay,A,03 Jun 2026 12:02:00 GMT,06 Jun 2026 06:00:00 GMT,GasLog Partners LP,Monaco,"6° 25' 7"" S","116° 45' 9"" E",1,"1 day, 9 hours"
Gaslog Hong Kong,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,12257685,Live,Bermuda,34342,"LNG VLGC, 100'-200'cbm",92266,Double Hull,ZCEV8,114470,2801,289.99,283.90,-,46.40,12.63,13.77,Unknown Engine Designer,Hamilton,-,GasLog Limited,Greece,GasLog Limited,Greece,Sea 190 Leasing Company Limited,"Hong Kong, S.A.R., China",Methane Services Limited,United Kingdom,-,-,9748904,310773000,26.40,2018,-,-,-,-,-,-,-,12V50DF,"Britannia Steam Ship Insurance Association Ltd., The",DNV,-,-,-,-,-,-,2028-03-20T00:00:00,2028-03-20T00:00:00,Gaslog LNG Services Limited,Greece,Gaslog LNG Services Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 12:06:14 GMT,06 Jun 2026 23:00:00 GMT,GasLog Limited,Greece,"6° 6' 11"" S","75° 49' 18"" E",1,"1 day, 4 hours"
Pan Europe,Liquefied Natural Gas Carrier,China,Hudong-Zhonghua Shipbuilding (Group) Company Limited,12259822,Live,"Hong Kong, S.A.R., China",34498,"LNG VLGC, 100'-200'cbm",88407,Double Hull,VRQC4,114996,H1665A,290.10,284.00,-,46.95,11.50,14.75,MAN Energy Solutions SE,Hong Kong,-,Stonepeak Infrastructure Partners (Stonepeak Partners LP),United States of America,Seapeak LLC,Marshall Islands,Pan Europe LNG Transportation Company Limited,"Hong Kong, S.A.R., China",Methane Services Limited,United Kingdom,-,-,9750244,477157300,26.25,2018,-,-,-,-,MAN Energy Solutions SE,-,-,8L51/60DF,NorthStandard,China Classification,American Bureau,-,-,-,-,-,2028-07-09T00:00:00,2028-07-09T00:00:00,Seapeak Maritime (Glasgow) Limited,United Kingdom,Seapeak Maritime (Glasgow) Limited,United Kingdom,FOR ORDERS,Hachinohe,A,03 Jun 2026 11:55:49 GMT,15 Jun 2026 11:00:00 GMT,Seapeak LLC,Marshall Islands,"37° 11' 14"" N","133° 59' 6"" E",1,"1 day, 7 hours"
Pan Americas,Liquefied Natural Gas Carrier,China,Hudong-Zhonghua Shipbuilding (Group) Company Limited,12259863,Live,"Hong Kong, S.A.R., China",34498,"LNG VLGC, 100'-200'cbm",88425,Double Hull,VRQC3,114996,H1664A,290.10,284.00,-,46.95,11.50,14.75,MAN Energy Solutions SE,Hong Kong,-,Stonepeak Infrastructure Partners (Stonepeak Partners LP),United States of America,Seapeak LLC,Marshall Islands,Pan Americas LNG Transportation Company Limited,"Hong Kong, S.A.R., China",Methane Services Limited,United Kingdom,-,-,9750232,477142700,26.25,2018,-,-,-,-,MAN Energy Solutions SE,-,-,8L51/60DF,NorthStandard,American Bureau,China Classification,-,2020-09-01T00:00:00,-,-,-,2028-01-30T00:00:00,2028-01-30T00:00:00,Seapeak Maritime (Glasgow) Limited,United Kingdom,Seapeak Maritime (Glasgow) Limited,United Kingdom,FOR ORDERS,-,A,03 Jun 2026 12:06:53 GMT,03 Jun 2026 04:00:00 GMT,Seapeak LLC,Marshall Islands,"39° 38' 11"" N","0° 12' 51"" W",2,"1 day, 14 hours"
Seri Cemara,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,12269964,Live,Malaysia,40083,"LNG VLGC, 100'-200'cbm",84291,Double Hull,9MYD8,133948,2735,290.00,277.00,-,48.90,12.50,10.85,Mitsubishi Heavy Industries Limited,Port Klang,-,MISC Berhad,Malaysia,MISC Berhad,Malaysia,Seri Cemara (L) Private Limited,Malaysia,Petronas LNG Sendirian Berhad,Malaysia,-,-,9756389,533130753,23.35,2018,-,Alfa Laval Aalborg A/S,Unknown,Unknown,-,21195,28422,MR36-II,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,LR (provisional), (provisional), (provisional),2025-07-04T00:00:00,-,2023-04-29T00:00:00,-,2028-04-29T00:00:00,2028-04-29T00:00:00,MISC Shipmanagement (L) Private Limited,Malaysia,MISC Shipmanagement (L) Private Limited,Malaysia,KR BOR,Boryeong,A,03 Jun 2026 12:06:38 GMT,02 Jun 2026 00:00:00 GMT,MISC Berhad,Malaysia,"34° 43' 19"" N","124° 17' 12"" E",1,"1 day, 4 hours"
British Partner,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12395449,Live,Isle of Man,34609,"LNG VLGC, 100'-200'cbm",94442,Double Hull,MAOS2,115366,2441,294.90,282.90,-,46.40,12.50,8.48,MAN Diesel AS,Douglas,-,Kukje Maritime Investment Corporation (KMARIN),Republic of Korea,Natural Gas Ocean Transportation Investment No.20 Holdco S.A.,Panama,Natural Gas Ocean Transportation Investment No. 20 SPC A S.A.,Panama,BP Shipping Limited,United Kingdom,-,-,9766530,232006301,20.98,2018,-,-,-,-,Doosan Engine Company Limited,13470,18064,5G70ME-C9-GI,"Britannia Steam Ship Insurance Association Ltd., The",Lloyds Register,-,-,2025-09-30T00:00:00,-,2023-06-10T00:00:00,-,2028-05-28T00:00:00,2028-05-28T00:00:00,BP Shipping Limited,United Kingdom,BP Shipping Limited,United Kingdom,AU WNB,Withnell Bay,A,03 Jun 2026 11:59:37 GMT,09 Jun 2026 22:00:00 GMT,Natural Gas Ocean Transportation Investment No.20 Holdco S.A.,Panama,"4° 48' 52"" N","127° 50' 29"" E",1,"1 day, 7 hours"
Marvel Crane,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,12423759,Live,Singapore,41714,"LNG VLGC, 100'-200'cbm",97794,Double Hull,9V5069,139049,2321,297.50,293.00,-,48.94,11.40,16.10,Mitsubishi Heavy Industries Limited Shipbuilding,Singapore,-,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,NYK LNG Shipmanagement Limited,Japan,Rosewood Shipping Private Limited,Republic of Singapore,Mitsui & Company Limited,Japan,-,-,9770438,563073300,27.50,2019,-,-,-,-,-,13000,17433,MR21-II,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,American Bureau,-,-,-,-,-,-,2029-03-27T00:00:00,2029-03-27T00:00:00,NYK Shipmanagement Private Limited,Republic of Singapore,NYK Shipmanagement Private Limited,Republic of Singapore,US LCH,Cameron,A,03 Jun 2026 12:08:52 GMT,03 Jun 2026 05:01:00 GMT,NYK LNG Shipmanagement Limited,Japan,"29° 35' 53"" N","93° 17' 47"" W",4,"2 days, 20 hours"
Seapeak Manila,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12433569,Live,Bahamas,34061,"LNG VLGC, 100'-200'cbm",95449,Double Hull,C6CH8,113534,2453,294.90,282.90,46.44,46.40,12.52,13.98,MAN Diesel AS,Nassau,-,Industrial and Commercial Bank of China Limited (ICBC),People's Republic of China,ICBC Financial Leasing Company Limited,People's Republic of China,Hai Jiao 1606 Limited,Marshall Islands,Seapeak LLC,Marshall Islands,-,-,9770921,311000476,26.50,2018,-,-,-,-,-,-,-,5G70ME-GI,Assuranceforeningen Skuld,DNV,-,-,-,-,-,-,2026-10-30T00:00:00,2026-10-30T00:00:00,Seapeak Maritime Limited,Bermuda,Seapeak Maritime Limited,Bermuda,USCP6,Cove Point,A,03 Jun 2026 12:01:21 GMT,29 Jun 2026 04:01:00 GMT,ICBC Financial Leasing Company Limited,People's Republic of China,"8° 49' 14"" S","76° 19' 16"" E",1,"1 day, 7 hours"
LNG Sakura,Liquefied Natural Gas Carrier,Sakaide,Kawasaki Shipbuilding Corporation,12499933,Live,Bahamas,40794,"LNG VLGC, 100'-200'cbm",82137,Double Hull,C6DR7,135977,1731,300.00,286.00,-,48.90,11.83,15.17,Wartsila Corporation,Nassau,-,Kansai Electric Power Company (70%) & Nippon Yusen Kabushiki Kaisha (NYK) (30%),Japan,Kansai Electric Power Company (70%) & Nippon Yusen Kabushiki Kaisha (NYK) (30%),Japan,LNG Sakura Shipping Corporation,Bahamas,Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha),Japan,-,-,9774135,311000760,27.00,2018,-,-,-,-,-,11100,14885,9L50DF,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,NK (provisional), (provisional), (provisional),2018-02-26T00:00:00,-,2018-02-26T00:00:00,-,2028-02-25T00:00:00,2028-02-25T00:00:00,NYK LNG Shipmanagement Limited,Japan,NYK LNG Shipmanagement Limited,Japan,HIMEJI,Himeji,A,03 Jun 2026 12:09:33 GMT,25 Jun 2026 21:00:00 GMT,Kansai Electric Power Company (70%) & Nippon Yusen Kabushiki Kaisha (NYK) (30%),Japan,"29° 36' 2"" S","11° 3' 14"" E",3,"4 days, 11 hours"
Kinisis,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12540224,Live,Liberia,34427,"LNG VLGC, 100'-200'cbm",95673,Double Hull,D5NT9,114758,2464,294.90,282.90,46.40,46.40,11.50,9.48,MAN Diesel AS,Monrovia,-,K Line LNG Shipping and Chandris (Hellas),United Kingdom,K Line LNG Shipping and Chandris (Hellas),United Kingdom,Danae Gas Shipping Incorporated,Marshall Islands,BP Shipping Limited,United Kingdom,-,-,9785158,636018011,20.98,2018,-,Hamworthy Moss AS,Unknown,Unknown,-,21195,28422,5G70ME-C9-GI,Japan Shipowners Mutual Protection & Indemnity Association,Lloyds Register,-,-,2023-09-24T00:00:00,-,2023-09-30T00:00:00,-,2028-09-30T00:00:00,2028-09-30T00:00:00,'K' Line Energy Shipping (UK) Limited,United Kingdom,'K' Line Energy Shipping (UK) Limited,United Kingdom,-,-,A,03 Jun 2026 12:09:17 GMT,-,K Line LNG Shipping and Chandris (Hellas),United Kingdom,"25° 31' 57"" N","77° 11' 25"" W",1,"1 day, 7 hours"
Flex Courageous,Liquefied Natural Gas Carrier,Okpo,Hanwha Ocean Company Limited,12775831,Live,Marshall Islands,34028,"LNG VLGC, 100'-200'cbm",96000,Double Hull,V7A2081,113428,2471,294.90,282.90,-,46.40,11.50,15.00,MAN Diesel AS,Majuro,-,Japan Investment Adviser Company Limited,Japan,JP Lease Products & Services Company,Japan,JLPS Ship Investment Marshall 9 Company,Marshall Islands,Flex LNG Management Limited,United Kingdom,-,-,9825439,538008206,26.50,2019,-,-,-,-,HSD Engine Company Limited,11975,16059,5G70ME-C9.5-GI,NorthStandard,American Bureau,-,-,-,-,-,-,2029-08-26T00:00:00,2029-08-26T00:00:00,Flex LNG Fleet Management AS,Norway,Flex LNG Fleet Management AS,Norway,FOR ORDER,Las Palmas de Gran Canaria,A,03 Jun 2026 12:06:24 GMT,10 Jun 2026 22:01:00 GMT,JP Lease Products & Services Company,Japan,"36° 19' 20"" N","3° 42' 9"" W",1,"1 day, 7 hours"
Amberjack LNG,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,12899782,Live,Malta,34962,"LNG VLGC, 100'-200'cbm",93534,Double Hull,9HA5163,116542,3021,299.00,291.00,-,46.40,11.50,15.00,Winterthur Gas & Diesel Limited (WinGD),Valletta,-,Bank of Communications Company Limited,People's Republic of China,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China",Xiang CH17 HK International Ship Lease Company Limited,"Hong Kong, S.A.R., China",Cheniere Energy Incorporated,United States of America,-,-,9845776,215534000,26.50,2020,-,-,-,-,HD Hyundai Heavy Industries Company Limited,-,-,5X72DF,Assuranceforeningen Gard,American Bureau,-,-,-,-,-,-,2030-04-13T00:00:00,2030-04-13T00:00:00,TMS Cardiff Gas Limited,Greece,TMS Cardiff Gas Limited,Greece,FOR ORDERS,-,A,03 Jun 2026 12:09:15 GMT,10 Jun 2026 11:00:00 GMT,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China","11° 34' 50"" N","60° 19' 17"" W",1,"1 day, 15 hours"
Elisa Larus,Liquefied Natural Gas Carrier,Samho,HD Hyundai Samho Company Limited,12920697,Live,France,35485,"LNG VLGC, 100'-200'cbm",95418,Double Hull,FLYS,118286,S970,297.23,291.00,-,46.40,12.50,14.00,Winterthur Gas & Diesel Limited (WinGD),Marseilles,-,Nippon Yusen Kaisha 50% & Geogas Maritime SAS 50%,Japan,Nippon Yusen Kaisha 50% & Geogas Maritime SAS 50%,Japan,Caroline 77 SASU,France,EDF Trading Limited,United Kingdom,-,-,9852975,228385600,26.50,2020,-,-,-,-,HD Hyundai Heavy Industries Company Limited,12361,16795,5X72DF,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Bureau Veritas,-,-,2025-05-15T00:00:00,2022-09-03T00:00:00,2025-05-01T00:00:00,2025-05-15T00:00:00,2030-05-14T00:00:00,2030-05-14T00:00:00,Gazocean S.A.,France,Gazocean S.A.,France,US YCN,Taichung,A,03 Jun 2026 11:55:05 GMT,15 Jul 2026 05:00:00 GMT,Nippon Yusen Kaisha 50% & Geogas Maritime SAS 50%,Japan,"21° 12' 37"" N","118° 51' 1"" E",4,"4 days, 1 hour"
Woodside Charles Allen,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12938638,Live,Greece,34146,"LNG VLGC, 100'-200'cbm",94732,Double Hull,SVDI5,113822,2486,294.90,288.50,46.44,46.40,12.50,14.00,MAN Diesel AS,Piraeus,-,Industrial and Commercial Bank of China Limited (ICBC),People's Republic of China,ICBC Financial Leasing Company Limited,People's Republic of China,Hai Kuo Shipping 2027G Limited,"Hong Kong, S.A.R., China",Maran Gas Maritime Incorporated,Greece,-,-,9859753,241712000,26.50,2020,-,-,-,-,Doosan Engine Company Limited,31070,42255,5G70ME-C9-GI,Assuranceforeningen Gard,DNV,-,-,-,-,-,-,2030-10-30T00:00:00,2030-10-30T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDERS,-,A,03 Jun 2026 12:09:40 GMT,21 Jun 2026 10:59:00 GMT,ICBC Financial Leasing Company Limited,People's Republic of China,"28° 4' 40"" S","1° 32' 25"" E",1,"1 day, 5 hours"
Celsius Copenhagen,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,12956949,Live,Marshall Islands,35801,"LNG VLGC, 100'-200'cbm",91838,Double Hull,V7A4207,119338,2297,299.00,290.00,-,47.00,12.50,14.50,Wartsila Corporation,Majuro,-,Breakwater Capital Limited,United Kingdom,Celsius Shipping ApS,Denmark,Frigg Shipco 1 LLC,Marshall Islands,Gunvor Group Limited,Switzerland,-,-,9864784,538009022,27.00,2020,-,-,-,-,Dalian Marine Diesel Company Limited,12023,16123,W6X72,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Lloyds Register,-,-,2025-07-14T00:00:00,-,2025-10-10T00:00:00,-,2030-10-29T00:00:00,2030-10-29T00:00:00,Celsius Tech Limited,"Hong Kong, S.A.R., China",Celsius Tech Limited,"Hong Kong, S.A.R., China",FOR ORDERS,-,A,03 Jun 2026 11:58:43 GMT,05 Jun 2026 05:01:00 GMT,Celsius Shipping ApS,Denmark,"21° 46' 51"" N","85° 46' 53"" W",1,"1 day, 8 hours"
Kool Firn,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,12966885,Live,Liberia,35033,"LNG VLGC, 100'-200'cbm",93025,Double Hull,D5WP2,116779,8007,299.00,291.00,-,46.40,12.50,8.67,Winterthur Gas & Diesel Limited (WinGD),Monrovia,-,Quantum Pacific Group,Monaco,Cool Company Limited (CoolCo),Bermuda,Felox Marine Limited,Liberia,Shell International Trading & Shipping Company Limited (STASCO),United Kingdom,-,-,9864746,636019878,21.17,2020,-,-,-,-,HD Hyundai Heavy Industries Company Limited,-,-,5X72DF,Assuranceforeningen Gard,DNV,-,-,-,-,-,-,2030-09-13T00:00:00,2030-09-13T00:00:00,Cool Company Management AS,Norway,Cool Company Management AS,Norway,FOR ORDERS,-,A,03 Jun 2026 11:47:00 GMT,08 Jun 2026 00:01:00 GMT,Cool Company Limited (CoolCo),Bermuda,"35° 57' 39"" N","161° 24' 34"" E",1,"1 day, 7 hours"
Minerva Kalymnos,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,12976411,Live,Malta,34690,"LNG VLGC, 100'-200'cbm",88235,Double Bottom,9HA5354,115635,2304,293.00,286.00,-,45.80,11.50,14.70,Unknown Engine Designer,Valletta,-,Andreas Martinos & family,Greece,Minerva Gas Incorporated,Greece,Koje Shipping S.A.,Marshall Islands,-,-,-,-,9869942,215890000,26.20,2021,-,-,-,-,-,-,-,12V50DF,"Britannia Steam Ship Insurance Association Ltd., The",American Bureau,-,-,-,-,-,-,2031-02-24T00:00:00,2031-02-24T00:00:00,Minerva Gas Incorporated,Greece,Minerva Gas Incorporated,Greece,FOR ORDERS,Malta OPL,A,03 Jun 2026 11:55:45 GMT,13 Jun 2026 14:00:00 GMT,Minerva Gas Incorporated,Greece,"25° 27' 31"" N","16° 21' 4"" W",4,"5 days, 4 hours"
Kool Orca,Liquefied Natural Gas Carrier,Samho,HD Hyundai Samho Company Limited,12978193,Live,Liberia,35033,"LNG VLGC, 100'-200'cbm",92969,Double Hull,D5X02,116779,8008,299.00,291.00,-,46.40,12.50,8.67,Winterthur Gas & Diesel Limited (WinGD),Monrovia,-,Quantum Pacific Group,Monaco,Cool Company Limited (CoolCo),Bermuda,Respent Marine Limited,Liberia,Shell Tankers Singapore Private Limited,Republic of Singapore,-,-,9870525,636020078,21.17,2021,-,-,-,-,HD Hyundai Heavy Industries Company Limited,31664,31664,5X72DF,Assuranceforeningen Gard,DNV,-,-,-,-,-,-,2031-01-14T00:00:00,2031-01-14T00:00:00,Cool Company Management AS,Norway,Cool Company Management AS,Norway,FOR ORDERS,-,A,03 Jun 2026 12:06:28 GMT,18 Jun 2026 23:01:00 GMT,Cool Company Limited (CoolCo),Bermuda,"14° 55' 0"" S","68° 2' 4"" E",2,"1 day, 3 hours"
BW Lesmes,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,12991821,Live,Singapore,34602,"LNG VLGC, 100'-200'cbm",94167,Double Hull,9V6827,115338,2496,294.90,282.90,-,46.40,12.52,13.98,MAN Diesel AS,Singapore,-,BW Group Limited,Bermuda,BW LNG AS,Norway,Siro Holding Singapore 2 Private Limited,Republic of Singapore,-,-,-,-,9873840,563121700,26.50,2021,-,-,-,-,Doosan Engine Company Limited,-,-,5G70ME-C9-GI,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,DNV,-,-,-,-,-,-,2031-03-23T00:00:00,2031-03-23T00:00:00,BW Fleet Management AS,Norway,BW Fleet Management AS,Norway,FOR ORDERS,-,A,03 Jun 2026 11:17:08 GMT,06 Jun 2026 18:01:00 GMT,BW LNG AS,Norway,"12° 29' 24"" N","87° 31' 18"" E",1,"1 day, 10 hours"
Yiannis,Liquefied Natural Gas Carrier,South Korea,Hanwha Ocean Company Limited,13023180,Live,Greece,34647,"LNG VLGC, 100'-200'cbm",96000,Double Hull,SVDL2,115489,2501,294.90,288.50,-,46.40,12.90,13.60,Unknown Engine Designer,-,-,Angelicoussis Shipping Group Limited,Greece,Maran Gas Maritime Incorporated,Greece,Onerato Marine SA,Marshall Islands,-,-,-,-,9879674,241743000,26.50,2021,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Gard,DNV,-,-,-,-,-,-,2026-09-29T00:00:00,2026-09-29T00:00:00,Maran Gas Maritime Incorporated,Greece,Maran Gas Maritime Incorporated,Greece,FOR ORDERS,-,A,03 Jun 2026 12:01:42 GMT,07 Jun 2026 21:00:00 GMT,Maran Gas Maritime Incorporated,Greece,"23° 31' 0"" N","122° 59' 60"" E",1,"1 day, 7 hours"
Asklipios,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Heavy Industries Company Limited,13025689,Live,Greece,34974,"LNG VLGC, 100'-200'cbm",92789,Double Hull,SVDZ2,116581,3110,299.00,291.00,-,46.40,12.50,14.00,Winterthur Gas & Diesel Limited (WinGD),-,-,Bank of Communications Company Limited,People's Republic of China,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China",Xiang B5 HK International Ship Lease Company Limited,"Hong Kong, S.A.R., China",Cheniere Energy Incorporated,United States of America,-,-,9884021,241940000,26.50,2021,-,-,-,-,-,-,-,5X72DF,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),Lloyds Register,-,-,2024-08-09T00:00:00,-,-,-,2026-09-28T00:00:00,2026-09-28T00:00:00,Capital Gas Ship Management Corporation,Greece,Capital Gas Ship Management Corporation,Greece,FOR ORDERS,-,A,03 Jun 2026 12:06:28 GMT,25 Jun 2026 00:01:00 GMT,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China","32° 10' 22"" S","35° 14' 53"" E",1,"1 day, 7 hours"
