LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
passenger (cruise),357440,Poseidon,Live,Sweden,125,1961,-2'gt,120,Single,SKGV,346,—,—,Frederikshavn,40.49,35.51,8.82,8.51,3.10,2.30,0.80,—,Alpha Diesels A/S,Rederi AB Bohus Line,Sweden,Gothenburg,—,Rederi AB Bohus Line,Sweden,Rederi AB Bohus Line,Sweden,Rederi AB Bohus Line,Sweden,Rederi AB Bohus Line,Sweden,—,—,—,—,—,—,—,—,—,—,5201934,—,470,630,495R
passenger (cruise),357524,MSC Musica,Live,Panama,34360,2006,60'-100'gt,10012,Single,3EFK6,92409,Q32,Chantiers de l'Atlantique,St. Nazaire,293.80,269.14,32.20,32.20,10.60,7.85,2.75,Wartsila Italia S.p.A.,Wartsila Corporation,MSC Crociere (Mediterranean Shipping Cruises) S.p.A.,Italy,Panama,—,Mediterranean Shipping Company S.A. (MSC),Switzerland,MSC Crociere (Mediterranean Shipping Cruises) S.p.A.,Italy,Musica Cruise Limited,United Kingdom,MSC Cruise Management (UK) Limited,United Kingdom,—,—,—,—,MSC Cruise Management (UK) Limited,United Kingdom,Unknown,Unknown,Unknown Scrubber Manufacturer,—,9320087,352003000,17500,23468,16V38B
passenger (cruise),357601,Glacier Explorer,Live,U.S.A.,—,1996,-2'gt,29,Single,WCW6554,95,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,UNKNOWN
passenger (cruise),357647,Rio Las Casas,Live,Cuba,95,2005,-2'gt,25,Single,CL2507,260,538301,Damex Shipbuilding & Engineering,Santiago(CUB),30.00,27.50,—,9.00,3.30,1.60,1.70,Caterpillar Incorporated,Caterpillar Incorporated,Intermar Clarion Shipping Company Limited,Cuba,—,—,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,—,—,—,—,—,—,—,—,—,—,9313981,323107110,831,1115,3412
passenger (cruise),357648,Rio Jucaro,Live,Cuba,95,2006,-2'gt,90,Single,CL2509,260,538302,Damex Shipbuilding & Engineering,Santiago(CUB),30.00,27.50,—,9.00,3.30,1.50,1.80,Caterpillar Incorporated,Unknown Engine Designer,Intermar Clarion Shipping Company Limited,Cuba,—,—,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,Intermar Clarion Shipping Company Limited,Cuba,—,—,—,—,Intermar Clarion Shipping Company Limited,Cuba,—,—,—,—,9313993,—,820,1114,3412E-TA
passenger (cruise),3576918,River Princess,Live,Netherlands,—,2001,-2'gt,—,Single,PC 5495,35,—,—,"",110.00,—,—,11.40,—,1.20,—,—,—,Filia Rheni BV,Netherlands,—,—,Filia Rheni BV,Netherlands,Filia Rheni BV,Netherlands,Filia Rheni BV,Netherlands,Filia Rheni BV,Netherlands,—,—,—,—,—,—,—,—,—,—,—,244070801,—,—,—
passenger (cruise),357700,Viking Europe,Live,Germany,—,2001,Unknown size,—,Single,—,,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Viking Holding Limited,Bermuda,—,—,Viking Holding Limited,Bermuda,Viking Holding Limited,Bermuda,Viking Holding Limited,Bermuda,Viking Holding Limited,Bermuda,—,—,—,—,—,—,—,—,—,—,8643418,—,—,—,UNKNOWN
passenger (cruise),35772,Maxim M.,Dead,Bahamas,9426,1969,10'-60'gt,4759,Double Bottom,—,24220,997,Howaldtswerke-Deutsche Werft GmbH (HDW),Hamburg,194.72,169.91,26.62,26.57,11.20,8.27,2.93,AEG Aktiengesellschaft Fachbereich Schiffbau,Unknown Engine Designer,Indian Breakers,—,Nassau,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6810627,—,8455,22659,UNKNOWN
passenger (cruise),357723,Zeus 1,Live,Brazil,—,2004,-2'gt,125,Single,—,900,-,Rodriquez Cantieri Brazil,Rio de Janeiro,—,—,—,—,—,—,—,—,Unknown Engine Designer,Barcas S/A Transportes Maritimos,Brazil,—,—,Barcas S/A Transportes Maritimos,Brazil,Barcas S/A Transportes Maritimos,Brazil,Barcas S/A Transportes Maritimos,Brazil,Barcas S/A Transportes Maritimos,Brazil,—,—,—,—,—,—,—,—,—,—,9271793,—,1065,1428,16V4000M70
passenger (cruise),357879,American Spirit,Live,U.S.A.,—,2004,-2'gt,—,Single,WDC4371,1200,82,Chesapeake Shipbuilding Incorporated,Salisbury MD (USA),65.22,—,13.87,—,3.25,—,—,—,Unknown Engine Designer,American Cruise Lines Incorporated,United States of America,Wilmington,—,American Cruise Lines Incorporated,United States of America,American Cruise Lines Incorporated,United States of America,American Cruise Lines Incorporated,United States of America,American Cruise Lines Incorporated,United States of America,—,—,—,—,—,—,—,—,—,—,9283124,367023690,—,—,10V2000M72
passenger (cruise),357919,Sea World,Live,Spain,257,2004,-2'gt,37,Single,ECHJ,444,272,Metalships & Docks SA,Vigo,33.37,—,—,10.00,4.00,—,—,MTU Friedrichshafen GmbH,MTU Friedrichshafen GmbH,Excursiones Maritimas Benidorm S.L.,Spain,—,—,Excursiones Maritimas Benidorm S.L.,Spain,Excursiones Maritimas Benidorm S.L.,Spain,Excursiones Maritimas Benidorm S.L.,Spain,Excursiones Maritimas Benidorm S.L.,Spain,—,—,—,—,—,—,—,—,—,—,9323273,224133620,1764,2366,12V4000M70
